"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"12 News",176,45,8,2,"People & Blogs"
"1MILLION Dance Studio",42421,455,10,33,"Entertainment"
"1theK (원더케이)",192809,3333,10,19,"Music"
"20th Century Fox",134716,2906,10,101,"Film & Animation"
"2CELLOS",11450,122,10,2,"Music"
"3Blue1Brown",12109,104,10,14,"Education"
"3D Printing Nerd",1944,60,10,6,"Science & Technology"
"42Fab - Metalworking and Multi-Medium Fabrication",446,62,9,5,"Howto & Style"
"494ta",793,38,10,1,"Film & Animation"
"4given4ever1",7381,558,9,6,"News & Politics"
"5-Minute Crafts",87287,15428,9,22,"Howto & Style"
"52 Skillz",464,22,10,4,"Howto & Style"
"5FDPVEVO",62719,1863,10,19,"Music"
"5MadMovieMakers",38542,1437,10,17,"Entertainment"
"5SOSVEVO",274652,2376,10,19,"Music"
"60 Minutes",692,71,9,4,"News & Politics"
"730 WVFN",12,42,2,5,"Sports"
"9-1-1 on FOX",13,0,10,3,"Entertainment"
"90s Commercials",2,0,10,1,"Education"
"A Chick Called Albert",118234,1902,10,7,"Pets & Animals"
"A24",13763,1008,9,46,"Film & Animation"
"AaronsAnimals",18522,595,10,42,"Pets & Animals"
"ABC Action News",4347,538,9,19,"News & Politics"
"ABC News",3575,2313,7,113,"News & Politics"
"ABC News (Australia)",20967,1626,9,1,"News & Politics"
"ABC Television Network",29244,1265,9,24,"Entertainment"
"ABC7",19218,1033,9,7,"News & Politics"
"Abhishek Singh",518,67,9,4,"Science & Technology"
"AbrahamMateoVEVO",220971,9329,10,17,"Music"
"Abroad in Japan",8432,73,10,5,"Entertainment"
"Absolut",1367,117,9,1,"Entertainment"
"acaciacutie",22836,430,10,7,"Comedy"
"Access",371,506,4,6,"Entertainment"
"Access Hollywood",252,112,7,14,"Entertainment"
"Adam's Apple",3161,119,10,5,"People & Blogs"
"Adam Neely",11584,622,9,5,"Music"
"Adam Smith",89680,6092,9,6,"Comedy"
"Adam Whitley",1,0,10,3,"Film & Animation"
"AdelaineMorin",36923,1590,10,19,"Howto & Style"
"adidas Football",8172,1659,8,7,"Sports"
"Adult Swim",129828,4976,10,8,"Entertainment"
"Adult Swim UK",1141,14,10,5,"Comedy"
"Aerie",18,0,10,1,"Howto & Style"
"ワーナー ブラザース 公式チャンネル",25827,1021,10,6,"Film & Animation"
"AFP news agency",19,3,9,4,"News & Politics"
"AIA awards",1203,507,7,7,"People & Blogs"
"AirPano",257,36,9,2,"Travel & Events"
"akidearest",28226,87,10,7,"Education"
"Al Jazeera English",412,81,8,26,"News & Politics"
"Alabama Crimson Tide on AL.com",1829,252,9,5,"Sports"
"Alan Walker",91484,1814,10,48,"Music"
"Alec Steele",7693,143,10,7,"Entertainment"
"Alesso",28869,1612,9,7,"Music"
"Alex Aiono",18511,209,10,3,"Music"
"Alex French Guy Cooking",23598,77,10,11,"Howto & Style"
"Alex Gilbert",3302,63,10,7,"People & Blogs"
"Alex Meyers",15797,254,10,8,"Entertainment"
"Alicia Keys",1354,181,9,1,"Music"
"AlishaMarie",79865,1415,10,32,"Howto & Style"
"AlishaMarieVlogs",50823,765,10,16,"People & Blogs"
"AlisonWonderlandVEVO",7582,260,10,6,"Music"
"Alissa Ashley",33431,478,10,26,"Howto & Style"
"All is Art",19683,794,10,9,"Entertainment"
"ALL URBAN CENTRAL",5630,390,9,8,"Entertainment"
"Allie Glines",4095,208,10,9,"Howto & Style"
"Allure",11428,291,10,40,"Entertainment"
"AlmazanKitchen",3475,266,9,2,"Howto & Style"
"Alpha Entertainment",0,0,NA,7,"Sports"
"alt-J",11948,504,10,7,"Music"
"Alto's Adventure",2594,99,10,7,"Gaming"
"Amanda Palmer",1588,9,10,2,"Music"
"AmandaMoor & Craft Ideas",296,44,9,4,"People & Blogs"
"Amarullah Rizky",39,0,10,3,"Autos & Vehicles"
"AmazingPhil",183497,1006,10,14,"Howto & Style"
"amazon",5517,565,9,10,"Entertainment"
"Amazon Studios",749,125,8,36,"Film & Animation"
"Amazon.co.uk",205,159,6,5,"Entertainment"
"Amber Liu",26633,37,10,5,"Entertainment"
"Amber Scholl",60294,2075,10,52,"Howto & Style"
"amc",7784,783,9,23,"Entertainment"
"Amelia Liana",1897,59,10,3,"Howto & Style"
"American Bridge 21st Century",0,0,NA,1,"News & Politics"
"American Idol",23965,1183,9,50,"Entertainment"
"Anaki Abo",1211,72,9,1,"People & Blogs"
"Andre Black Nerd",4622,243,10,18,"Entertainment"
"Andre Will Do It",30536,3111,9,5,"Education"
"ANDREW HUANG",18117,340,10,47,"Music"
"Andrew Lowe",34105,6983,8,7,"Comedy"
"Andrew Rowland",5045,362,9,5,"People & Blogs"
"Andy Grammer",1463,26,10,2,"Music"
"Anew Start",4052,122,10,6,"Comedy"
"Animal Adventure Park",3213,277,9,9,"Pets & Animals"
"Animal Planet",3089,204,9,7,"Entertainment"
"AnimalWised",11985,164,10,12,"Pets & Animals"
"Anna Akana",27401,480,10,47,"Comedy"
"Anna Saccone",42913,962,10,5,"Howto & Style"
"Annapurna Channel",7736,268,10,12,"Film & Animation"
"AnselElgortVEVO",104211,1281,10,6,"Music"
"Anthem Lights",6139,53,10,5,"Music"
"AnthonyPadilla",19029,499,10,57,"Comedy"
"AntsCanada",30038,850,10,23,"Pets & Animals"
"Anwar Jibawi",69346,1820,10,56,"Comedy"
"Any rubbish",2,0,10,3,"Entertainment"
"圧倒的不審者の極み!",13121,1026,9,12,"Science & Technology"
"Apple",53102,10247,8,27,"Science & Technology"
"Apple Support",161,11,9,5,"Science & Technology"
